Program,enwik8,enwik9,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
pigz 2.3          -11,35002893,309812953,52717,s,309865670,2237,13,25,LZ77,48
kzip May 13 2006  /b1024,35016649,310188783,29184,xd,310217967,6063,62,121,LZ77,2
uc2 rev 3 pro     -tst,35384822,312767652,123031,x,312890683,360,63,4,LZ77,
thor 0.95         e4,35795184,314092324,49925,x,314142249,64,34,16,LZP,
etincelle a3,35776971,314801710,44103,x,314845813,29,18,976,ROLZ,26
lz5 1.3.3         -18,36514408,319510433,138210,s,319648643,10578,3.7,1139,LZ77,48
gzip124hack 1.2.4 -9,36273716,321050648,62653,x,321113301,149,19,1,LZ77,
doboz 0.1,36367430,322415409,83591,x,322499000,533,3.4,1200,LZ77,48
gzip 1.3.5        -9,36445248,322591995,38801,x,322630796,101,17,1.6,LZ77,
Info-ZIP 2.3.1    -9,36445373,322592120,57583,x,322649703,104,35,0.1,LZ77,
pkzip 2.0.4       -ex,36556552,323403526,29184,xd,323432710,171,50,2.5,LZ77,
jar (Java) 0.98-gcc  cvfM,36520144,323747582,19054,x,323766636,118,95,1.2,LZ77,
PeaZip            better no integrity check,36580548,323884274,561079,x,324445353,243,243,8,LZ77,20
arj 3.10          -m1,37091317,328553982,143956,x,328697938,262,67,3,LZ77,26
lzgt3a,37444440,334405713,4387,xd,334410100,1581,2886,2,LZ77,
pucrunch          -d -c0,39199165,350265471,34359,s,350299830,2649,463,2,LZ77,
packARC v0.7RC11  -sfx -np,38375065,361905425,0,xd,361905425,1359,1486,23,CM,
urban,38215763,362677440,4280,s,362681720,381,450,6,o2,48
lzop v1.01        -9,41217688,366349786,54438,x,366404224,289,12,1.8,LZ77,
lzw 0.2,41960994,367633910,671,s,367634581,3597,31,18,LZW,
MTCompressor v1.0,41295546,370152396,3620,x,370156016,173,117,74,LZ77,26
lz4x 1.02         c4,41950112,372068437,48609,x,372117046,79,1.4,114,LZ77,68
arbc2z,38756037,379054068,6255,sd,379060323,2659,2674,68,PPM,
lz4 v1.2          -c2,42870164,379999522,49128,x,380048650,91,6,20,LZ77,26
lzss 0.02         cx,42874387,380192378,48114,x,380240492,107,2.3,145,LZSS,63
xdelta 3.0u       -9,44288463,389302725,107985,x,389410710,1021,30,47,LZ77,
brieflz 1.1.0,43300800,390122722,14907,s,390137629,21,7.5,3,LZ77,48
mtari 0.2,41655528,397232608,4156,s,397236764,80,99,18,CM,26
