Compressor name,Chunk size,Grid,SM active C,Compute warps C,Kernel time C (ms),SM active D,Compute warps D,Kernel time D (ms),Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
nvcomp_cascaded 3.0.5,-3,,,,,,,,2784.34,4097.41,211948032,209960612,99.06,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-7,,,,,,,,179.76,4028.23,211948032,81375489,38.39,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-8,,,,,,,,171.17,4595.3,211948032,76281913,35.99,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-9,,,,,,,,158.01,4612.47,211948032,72330721,34.13,../datasets/silesia.tar
nvcomp_deflate_compression 3.0.5,-10,,,,,,,,138.19,4588.82,211948032,69722641,32.9,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-7,,,,,,,,1512.36,3746.44,211948032,93680852,44.2,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-8,,,,,,,,1490.81,4064.79,211948032,90884748,42.88,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-9,,,,,,,,1455.79,4193.69,211948032,89477948,42.22,../datasets/silesia.tar
nvcomp_deflate_throughput 3.0.5,-10,,,,,,,,1254.96,3950.3,211948032,88814908,41.9,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-7,25873,97,64.1,1122,98,81.2,5.587,174.85,6429.53,211948032,86319012,40.73,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-8,12937,96,63.2,1179,97,75.5,5.826,169.57,6585.71,211948032,78795756,37.18,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-9,6469,96,62.5,1288,91,69.7,6.351,162.19,6648.14,211948032,73631668,34.74,../datasets/silesia.tar
nvcomp_gdeflate_compression 3.0.5,-10,3235,88,57.3,1491,83,55.7,7.92,140.36,6399.36,211948032,70420492,33.23,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-7,,,,,,,,4390.1,5263.6,211948032,135017356,63.7,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-8,,,,,,,,4444.61,5107.81,211948032,132295652,62.42,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-9,,,,,,,,4196.78,5161.68,211948032,131413972,62,../datasets/silesia.tar
nvcomp_gdeflate_entropy 3.0.5,-10,,,,,,,,4428.62,5004.74,211948032,131527788,62.06,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-7,,,,,,,,1575.9,5998.96,211948032,98614508,46.53,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-8,,,,,,,,1559.27,5761.71,211948032,93381396,44.06,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-9,,,,,,,,1489.42,5824.37,211948032,90757588,42.82,../datasets/silesia.tar
nvcomp_gdeflate_throughput 3.0.5,-10,,,,,,,,1390.5,5664.95,211948032,89485532,42.22,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-1,,,,,,,,3283.5,3663.26,211948032,209473419,98.83,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-2,,,,,,,,3446,3976.36,211948032,178854051,84.39,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-3,,,,,,,,3450.78,4552.26,211948032,158759764,74.91,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-4,,,,,,,,3515.62,4424.71,211948032,145184284,68.5,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-5,,,,,,,,3216.83,4833.84,211948032,135556988,63.96,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-6,,,,,,,,2523.7,5049.84,211948032,127684772,60.24,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-7,,,,,,,,2062.92,4628.88,211948032,120890364,57.04,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-8,,,,,,,,1796.81,5230.77,211948032,115013612,54.27,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-9,,,,,,,,1610.33,5416.68,211948032,110797156,52.28,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-10,,,,,,,,1452.55,4400.81,211948032,107669628,50.8,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-11,,,,,,,,1449.62,4952.43,211948032,106631412,50.31,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-12,,,,,,,,1439.93,4462.26,211948032,106001783,50.01,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-13,,,,,,,,1083.88,3660.99,211948032,105686295,49.86,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-14,,,,,,,,661.3,2604.76,211948032,105530415,49.79,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-15,,,,,,,,375.66,1684.78,211948032,105434527,49.75,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-16,,,,,,,,200.91,865.77,211948032,105396145,49.73,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-17,,,,,,,,114.16,527.19,211948032,105377881,49.72,../datasets/silesia.tar
nvcomp_lz4 3.0.5,-18,,,,,,,,78.28,292.39,211948032,105359400,49.71,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-1,,,,,,,,2828.03,3727.06,211948032,204595282,96.53,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-2,,,,,,,,3141.96,4130.33,211948032,173375504,81.8,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-3,,,,,,,,3158.04,4443.63,211948032,153226004,72.29,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-4,,,,,,,,3278.11,4757.41,211948032,139260868,65.71,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-5,,,,,,,,3211.32,5099.31,211948032,129034996,60.88,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-6,,,,,,,,3065.12,5097.54,211948032,121772132,57.45,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-7,,,,,,,,2993.26,5384.34,211948032,116208900,54.83,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-8,,,,,,,,2816.91,5311.92,211948032,111812676,52.75,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-9,,,,,,,,2668.8,5202.01,211948032,108499868,51.19,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-10,,,,,,,,2423.81,5198.24,211948032,106763332,50.37,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-11,,,,,,,,2296.31,4919.85,211948032,105941124,49.98,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-12,,,,,,,,2138.28,4562.99,211948032,105524242,49.79,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-13,,,,,,,,1700.16,3494.82,211948032,105318586,49.69,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-14,,,,,,,,1063.67,2451.59,211948032,105210594,49.64,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-15,,,,,,,,541.31,1498.06,211948032,105164314,49.62,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-16,,,,,,,,316.69,861.88,211948032,105131307,49.6,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-17,,,,,,,,164.87,442.52,211948032,105120763,49.6,../datasets/silesia.tar
nvcomp_snappy 3.0.5,-18,,,,,,,,101.07,275.08,211948032,105112583,49.59,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-3,,,,,,,,478.09,1703.89,211948032,133956529,63.2,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-4,,,,,,,,650.04,2296.85,211948032,112547841,53.1,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-5,,,,,,,,813.74,3140.84,211948032,99476513,46.93,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-6,,,,,,,,945.52,3852.17,211948032,90781217,42.83,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-7,,,,,,,,1037.2,4113.69,211948032,84363721,39.8,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-8,,,,,,,,1078.92,4284.71,211948032,79625385,37.57,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-9,,,,,,,,1140.83,4009.05,211948032,76188401,35.95,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-10,,,,,,,,1130.59,4162.82,211948032,73879105,34.86,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-11,,,,,,,,1149.7,3628.1,211948032,72292721,34.11,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-12,,,,,,,,1179.19,3885.28,211948032,71275148,33.63,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-13,,,,,,,,1266.1,3761.92,211948032,70631172,33.32,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-14,,,,,,,,1205.06,2991.11,211948032,70571476,33.3,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-15,,,,,,,,905.99,2069.24,211948032,70483468,33.26,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-16,,,,,,,,523.89,1326.38,211948032,70392169,33.21,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-17,,,,,,,,308.8,776.93,211948032,70363274,33.2,../datasets/silesia.tar
nvcomp_zstd 3.0.5,-18,,,,,,,,168.23,444.42,211948032,70359595,33.2,../datasets/silesia.tar
